rank,festival,location,state,dates,website,status,booking_contact,email,notes
1,Big Blues Bender,"Reno, NV",NV,Sep 2026,https://bigbluesbender.com/,,,,"45 artists, one of largest US blues fests"
2,Crescent City Blues & BBQ Festival,"New Orleans, LA",LA,"Oct 9-11, 2026",https://www.jazzandheritage.org/events/2026-crescent-city-blues-bbq-festival/,,,,"Free admission, Jazz & Heritage Foundation"
3,Heritage Music Bluesfest,WV,WV,"Aug 7-9, 2026",https://www.eventeny.com/events/vendor/?id=48233,Deadline passed (Jun 16),,,Artist app via Eventeny
4,Midway Bourbon & Blues Festival,"Midway, KY",KY,2026,https://www.eventeny.com/events/vendor/?id=41236,Deadline passed (May 13),,,Artist app via Eventeny
5,Highland Jazz & Blues Festival,"Highland, IN",IN,Aug 2026,https://www.eventeny.com/events/applications/application/?id=7307,Deadline passed (Apr 18),,,"22nd annual, musician app via Eventeny"
6,Big Bull Falls Blues Fest,"Wausau, WI",WI,"Aug 21-22, 2026",https://wausauevents.org/big-bull-falls-blues-fest,,,,Wisconsin longest running blues festival
7,Upton Blues Festival,"Upton, UK",UK,2026,https://uptonbluesfestival.com/bandbookings2026/,Open,,,"UK festival, accepting band bookings for 2026"
8,BlackAmericana Fest,United States,,2026,https://www.blackamericanafest.com/musical-artist-submission,Open,,,Accepting artist submissions for 2026
9,OZONE Songwriter Festival,Louisiana,LA,2026,https://ozonemusic.org/2026-ozone-music-festival-performer-application/,Open,,,Performer application open
10,Atlanta Blues Challenge,"Woodstock, GA",GA,"Aug 16, 2026",https://atlantabluessociety.org/2026/05/blues-challenge-now-taking-applications/,Open (deadline Jul 19),,,Atlanta Blues Society competition
11,Grassroots Finger Lakes Festival,"Trumansburg, NY",NY,"Jul 16-19, 2026",https://www.frontstagefestivals.com/festival/grassroots-finger-lakes-festival-2026,,,,Multi-genre incl blues
12,Great South Bay Music Festival,"Patchogue, NY",NY,"Jul 23-26, 2026",https://www.frontstagefestivals.com/festival/great-south-bay-music-festival-2026,,,,"Multi-genre, Long Island NY"
13,Flood City Festival,"Johnstown, PA",PA,"Jul 24-25, 2026",https://www.frontstagefestivals.com/festival/flood-city-festival-2026,,,,
14,Musikfest,"Bethlehem, PA",PA,"Jul 31 - Aug 9, 2026",https://www.frontstagefestivals.com/festival/musikfest-2026,,,,Large multi-genre festival
15,Beanstalk Music Festival,"Bond, CO",CO,"Aug 6-8, 2026",https://www.frontstagefestivals.com/festival/beanstalk-music-festival-2026,,,,Blues genre tagged
16,Mile of Music,"Appleton, WI",WI,"Jul 30 - Aug 2, 2026",https://www.frontstagefestivals.com/festival/mile-of-music-2026,,,,
17,Pickathon,"Happy Valley, OR",OR,"Jul 30 - Aug 2, 2026",https://www.frontstagefestivals.com/festival/pickathon-2026,,,,
18,Newport Folk Festival,"Newport, RI",RI,"Jul 24-26, 2026",https://www.frontstagefestivals.com/festival/newport-folk-festival-2026,,,,"Prestigious, multi-genre"
19,Floydfest,"Floyd, VA",VA,"Jul 22-26, 2026",https://www.frontstagefestivals.com/festival/floydfest-2026,,,,
20,Rochester Jazz Festival,"Rochester, NY",NY,Summer 2026,https://festt.io/en/festivals/rochester-jazz-festival-2026-2026,,,,"146 artists, jazz & blues"
