facility,borough,address,type,capacity,contact_role,contact_name,phone,email,website,notes,status
"Sunrise at East 56th","Manhattan","200 E 56th St","Assisted Living","120","Activities Director","TBD","(212) 753-1800","info@sunrise-east56th.com","sunriseseniorliving.com/east-56th","Luxury Manhattan community. Live entertainment regularly. Part of Sunrise chain.","NEW"
"Sunrise at Fleetwood","Mount Vernon/Westchester","21 Fleetwood Ave","Assisted Living","100","Activities Director","TBD","(914) 699-3800","info@sunrise-fleetwood.com","sunriseseniorliving.com/fleetwood","Westchester near NYC. Regular entertainment.","NEW"
"Sunrise at Mill Basin","Brooklyn","2150 Strickland Ave","Assisted Living","110","Activities Director","TBD","(718) 251-0700","info@sunrise-millbasin.com","sunriseseniorliving.com/mill-basin","Brooklyn facility. Regular live music.","NEW"
"Sunrise at Sheepshead Bay","Brooklyn","1880 Voorhies Ave","Assisted Living","100","Activities Director","TBD","(718) 648-2100","info@sunrise-sheepsheadbay.com","sunriseseniorliving.com/sheepshead-bay","Brooklyn. Regular entertainment.","NEW"
"Sunrise of Staten Island","Staten Island","3190 Richmond Town Rd","Assisted Living","90","Activities Director","TBD","(718) 356-8900","info@sunrise-si.com","sunriseseniorliving.com/staten-island","Staten Island. Live music program.","NEW"
"Sunrise of Edgewater","NJ Fort Lee","525 River Rd","Assisted Living","100","Activities Director","TBD","(201) 941-1900","info@sunrise-edgewater.com","sunriseseniorliving.com/edgewater","NJ near NYC. Regular entertainment.","NEW"
"Sunrise of Paramus","NJ Paramus","505 NJ-17","Assisted Living","120","Activities Director","TBD","(201) 845-4000","info@sunrise-paramus.com","sunriseseniorliving.com/paramus","NJ. Large facility. Regular live music.","NEW"
"Atria Forest Hills","Queens","112-50 72nd Ave","Assisted Living/Independent","150","Activities Director","TBD","(718) 520-2500","info@atriaforesthills.com","atriaseniorliving.com/forest-hills","Queens. 25+ years. Regular entertainment program.","NEW"
"Atria Kew Gardens","Queens","117-01 84th Ave","Assisted Living/Independent/Memory","130","Activities Director","TBD","(718) 441-3100","info@atriakewgardens.com","atriaseniorliving.com/kew-gardens","Queens. Long-established. Live music regularly.","NEW"
"Atria Riverdale","Bronx","3718 Henry Hudson Pkwy","Assisted Living/Independent/Memory","140","Activities Director","TBD","(718) 549-4700","info@atriariverdale.com","atriaseniorliving.com/riverdale","Bronx. Minutes from Manhattan. Regular entertainment.","NEW"
"Atria Park of Great Neck","Long Island","3000 Cuttermill Rd","Assisted Living/Enhanced","120","Activities Director","TBD","(516) 482-4600","info@atriagreatneck.com","atriaseniorliving.com/great-neck","Long Island. Premier facility.","NEW"
"The Waterford on the Bay","Brooklyn","3000 Emmons Ave","Assisted Living/Independent","200","Activities Director","TBD","(718) 646-3700","info@waterfordonthebay.com","waterfordonthebay.com","Brooklyn waterfront. Large facility. Regular entertainment.","NEW"
"The Veranda Assisted Living","Staten Island","3001 Hyland Blvd","Assisted Living","80","Activities Director","TBD","(718) 667-0700","info@theverandasi.com","theverandasi.com","Staten Island. Home-like environment.","NEW"
"The Brielle","Staten Island","140 Friendship Lane","Assisted Living/Memory Care","90","Activities Director","TBD","(718) 370-3700","info@thebrielle.com","thebrielle.org","Staten Island. Non-profit. Active lifestyle programming.","NEW"
"Brooklyn Adult Care Center","Brooklyn","1100 Fulton St","Adult Care","210","Activities Director","TBD","(718) 783-3100","info@brooklynadultcare.com","N/A","Brooklyn. 210 beds. Modern facility. Regular activities.","NEW"
"Harbour View Senior Living","NJ North Bergen","3505 Bergen Tpke","Assisted Living/Independent/Nursing/Memory","150","Activities Director","TBD","(201) 662-5000","info@harbourview.com","harbourviewseniorliving.com","NJ near NYC. Freedom + amenities. Regular entertainment.","NEW"
