rank,venue,address,borough,type,website,status,date_contacted,booking_contact,notes
1,Otto's Shrunken Head,536 E 14th St,Manhattan (East Village),CONFIRMED,https://ottosshrunkenhead.com,,,,Fri Aug 7 2026 11pm slot - Krebs & Simone's Flip Flop & Fly
2,BB King's Blues Club,237 W 42nd St,Manhattan (Times Square),HISTORICAL,https://www.bbking.com,,,,Closed - was Cosmic Ray's home base as Resident Band Leader
3,Terra Blues,149 Bleecker St,Manhattan (Greenwich Village),FIT,https://www.terrablues.com,CONTACTED,2026-07-15,info@terrablues.com,Historic Greenwich Village blues venue. Live music nightly.
4,The Iridium,44 W 63rd St,Manhattan (Upper West Side),FIT,https://www.theiridium.com,CONTACTED,2026-07-15,BMcKenna@lessings.com,Booking: Brian McKenna. Jazz/blues club.
5,Blue Note,131 W 3rd St,Manhattan (Greenwich Village),FIT,https://www.bluenotejazz.com,CONTACTED,2026-07-15,club@bluenote.net,"Contact: club@bluenote.net OR via group reservations form. Phone: 212-475-8592. Hard booking, usually requires agent."
6,Smoke Jazz & Supper Club,2751 Broadway,Manhattan (Upper West Side),FIT,https://www.smokejazz.com,CONTACTED,2026-07-15,smokejazzclub@smokejazz.com,Jazz/blues venue with supper club format.
7,55 Bar,55 Christopher St,Manhattan (West Village),FIT,https://www.55bar.com,,,,SQUARESPACE EXPIRED - venue may be closed. Verify before outreach.
8,The Bitter End,147 Bleecker St,Manhattan (Greenwich Village),FIT,https://www.bitterend.com,CONTACTED,2026-07-15,info@bitterend.com,"info@bitterend.com. If sending an EPK, they specifically request you include a contact phone number. Iconic live room."
9,The Cutting Room,44 E 32nd St,Manhattan (Murray Hill),FIT,https://www.thecuttingroomnyc.com,CONTACTED,2026-07-15,booking@thecuttingroomnyc.com,Live music venue.
10,Arlene's Grocery,95 Stanton St,Manhattan (Lower East Side),FIT,https://www.arlenesgrocery.com,CONTACTED,2026-07-15,info@arlenesgrocery.net,Live music.
11,Pianos,158 Ludlow St,Manhattan (Lower East Side),FIT,https://www.pianosnyc.com,CONTACTED,2026-07-15,booking@pianosnyc.com,Multi-stage indie room. Cosmic Ray has played here before.
12,The Groove,125 MacDougal St,Manhattan (Greenwich Village),FIT,,,,,No website found - verify venue status. Live music.
13,Rockwood Music Hall,196 Allen St,Manhattan (Lower East Side),FIT,https://www.rockwoodmusichall.com,CONTACTED,2026-07-15,info@rockwoodmusichall.com,DOMAIN ISSUE - try rockwoodmusichall.com or check socials. Stage 3 is best for one-man shows.
14,Cafe Wha?,115 MacDougal St,Manhattan (Greenwich Village),FIT,https://www.cafewha.com,CONTACTED,2026-07-15,CONTACT@CAFEWHA.COM,Historic Greenwich Village venue. Use CONTACT@CAFEWHA.COM for booking.
15,The Bowery Electric,327 Bowery,Manhattan (Lower East Side),FIT,https://www.boweryelectric.com,CONTACTED,2026-07-15,booking@theboweryelectric.com,Live music. Cosmic Ray has played here before. Alt: booking@bowerypalace.com
16,Mercury Lounge,217 E Houston St,Manhattan (Lower East Side),FIT,https://www.mercuryloungenyc.com,CONTACTED,2026-07-15,info@mercuryloungenyc.com,Indie/rock venue. Cosmic Ray has played here before.
17,The Knitting Factory,74 Leonard St,Manhattan (Tribeca),FIT,https://www.knittingfactory.com,CONTACTED,2026-07-15,KFGcontact@knittingfactory.com,Multi-genre live room. Alt: info@knittingfactorymgmt.com
18,Drom,85 Avenue A,Manhattan (East Village),FIT,https://www.dromnyc.com,CONTACTED,2026-07-15,info@dromnyc.com,East Village live music. Contact: info@dromnyc.com OR via artist booking form.
19,Barbes,376 9th St,Brooklyn (Park Slope),FIT,https://www.barbesbrooklyn.com,CONTACTED,2026-07-15,BarbesBookings@gmail.com,Brooklyn world-music/blues bar. Send streamable link.
20,The Bell House,149 7th St,Brooklyn (Gowanus),FIT,https://www.thebellhouseny.com,CONTACTED,2026-07-15,info@thebellhouseny.com,Brooklyn live music.
21,Arthur's Tavern,[FILL ADDRESS],Manhattan,FIT,[FILL WEBSITE],CONTACTED,2026-07-15,info@arthurstavern.nyc,"[FILL - please provide address, website, and any booking info]"
22,The Red Lion,151 Bleecker St,Manhattan (Greenwich Village),FIT,https://redlionnyc.com,CONTACTED,2026-07-15,info@redlionnyc.com,Blues-friendly pub. Pitch solo/duo. Call or email for booking. Phone: 212-260-9797
23,Skinny Dennis,152 Metropolitan Ave,Brooklyn (Williamsburg),FIT,https://skinnydennis.com,CONTACTED,2026-07-15,booking@skinnydennisbrooklyn.com,"Honky-tonk bar, country/blues focus. Pitch solo/duo. For live music & band inquiries. Alt: skinnydennisbooking@gmail.com"
24,Sunny's Bar,253 Conover St,Brooklyn (Red Hook),FIT,https://sunnysredhook.com,CONTACTED,2026-07-15,info@sunnysredhook.com,Legendary waterfront dive. Saturday bluegrass/jams. Pitch solo/duo.
25,Pete's Candy Store,709 Lorimer St,Brooklyn (Williamsburg),FIT,https://petescandystore.com,CONTACTED,2026-07-15,info@petescandystore.com,"Intimate back room, free music series. Pitch solo/duo."
26,Zinc Bar,90 W Houston St,Manhattan (Greenwich Village),FIT,https://zincbar.com,CONTACTED,2026-07-15,info@zincbar.com,"Jazz/blues club, underground. Pitch solo/trio."
27,Smalls Jazz Club,183 W 10th St,Manhattan (Greenwich Village),FIT,https://smallsjazzclub.com,CONTACTED,2026-07-15,musician@smallslive.com,Legendary basement jazz club. Hard booking. Pitch solo/duo jazz-blues.
28,Mezzrow,163 W 10th St,Manhattan (Greenwich Village),FIT,https://mezzrow.com,CONTACTED,2026-07-15,booking@mezzrow.com,"Intimate listening room, sister to Smalls. Jazz focus. Pitch solo/duo."
29,The Way Station,413 Vanderbilt Ave,Brooklyn (Prospect Heights),FIT,https://thewaystationbk.com,CONTACTED,2026-07-15,info@thewaystationbk.com,Geeky bar with live music. Pitch solo/duo.
30,Union Pool,484 Union Ave,Brooklyn (Williamsburg),FIT,https://unionpool.com,CONTACTED,2026-07-15,info@unionpool.com,Rock/indie venue with bar. Pitch trio/full band.
31,Good Room,98 Meserole Ave,Brooklyn (Greenpoint),FIT,https://goodroombk.com,CONTACTED,2026-07-15,info@goodroombk.com,DJs and live music. Pitch any config. Contact via info@ for booking inquiries.
32,Sidewalk Cafe,94 Avenue A,Manhattan (East Village),FIT,https://sidewalknyc.com,CONTACTED,2026-07-15,booking@sidewalkny.com,Cosmic Ray has played here before. Antifolk/roots venue.
