rank,venue,address,borough,type,website,status,date_contacted,booking_contact,notes
61,Buddy Guy's Legends,700 S Wabash Ave,Chicago (Loop),FIT,https://www.buddyguy.com,,,info@buddyguy.com,Legendary Chicago blues club owned by Buddy Guy. World-class venue.
62,Kingston Mines,2548 N Halsted St,Chicago (Lincoln Park),FIT,https://www.kingstonmines.com,,,booking@kingstonmines.com,Chicago's premier blues nightclub. Two stages. Open late.
63,Rosa's Lounge,3420 W Armitage Ave,Chicago (Logan Square),FIT,https://www.rosaslounge.com,,,info@rosaslounge.com,Family-owned neighborhood blues club. Intimate setting.
64,House of Blues Chicago,329 N Dearborn St,Chicago (River North),FIT,https://www.houseofblues.com/chicago,,,booking@houseofblues.com,Major venue chain. Gospel brunch and concerts.
65,Blue Chicago,536 N Clark St,Chicago (River North),FIT,https://www.bluechicago.com,,,info@bluechicago.com,Urban blues venue. Live music 5 nights a week.
66,Lee's Unleaded Blues,7401 S South Chicago Ave,Chicago (South Shore),FIT,https://www.leesunleadedblues.com,,,leesunleadedblues@gmail.com,Southside Chicago blues club. Authentic neighborhood spot.
67,The Green Mill,4802 N Broadway,Chicago (Uptown),FIT,https://www.greenmilljazz.com,,,booking@greenmilljazz.com,Historic jazz club. Al Capone's old haunt. Jazz/blues focus.
68,Andy J's Pizza,959 W Webster Ave,Chicago (Lincoln Park),FIT,,,,andyjs@andyjspizza.com,Neighborhood spot with live blues.
69,B.L.U.E.S.,2519 N Halsted St,Chicago (Lincoln Park),FIT,https://www.chicagobluesbar.com,,,info@chicagobluesbar.com,Intimate blues club. Great for solo/duo.
70,Velvet Lounge,67 E Cermak Rd,Chicago (South Loop),FIT,,,,velvetloungechicago@gmail.com,Jazz/blues venue. Underground vibe.
71,Antone's Nightclub,305 E 5th St,Austin (Downtown),FIT,https://www.antonesnightclub.com,,,booking@antonesnightclub.com,Austin's home of the blues. Historic venue. TX blues focus.
72,The Continental Club,1315 S Congress Ave,Austin (South Congress),FIT,https://www.continentalclub.com,,,booking@continentalclub.com,Legendary Austin rock/blues venue.
73,Broken Spoke,3201 S Lamar Blvd,Austin (South Austin),FIT,https://www.brokenspokeaustin.com,,,info@brokenspokeaustin.com,Texas honky-tonk. Country/blues/roots.
74,Cactus Cafe,2300 Speedway,Austin (UT Campus),FIT,https://www.cactuscafe.org,,,cactuscafe@austin.utexas.edu,Intimate listening room at UT. Americana/blues.
75,The Saxon Pub,1320 S Lamar Blvd,Austin (South Austin),FIT,https://www.thesaxonpub.com,,,booking@thesaxonpub.com,Singer-songwriter venue. Americana/roots/blues.
76,White Horse,500 Comal St,Austin (East Austin),FIT,https://www.thewhitehorseaustin.com,,,booking@thewhitehorseaustin.com,Honky-tonk with live music. Country/blues focus.
77,Donn's Depot,1600 W 5th St,Austin (Clarksville),FIT,https://www.donnsdepot.com,,,donnsdepot@yahoo.com,Train depot converted to venue. Blues/country.
78,Skylark Lounge,2039 Airport Blvd,Austin (East Austin),FIT,https://www.skylarkloungeaustin.com,,,booking@skylarkloungeaustin.com,East Austin blues bar. Local talent.
79,Strange Brew Lounge Side,5326 Manchaca Rd,Austin (South Austin),FIT,https://www.strangebrewloungeside.com,,,booking@strangebrewloungeside.com,Coffee shop/venue. Acoustic/electric blues.
80,Evangeline Cafe,8106 Brodie Ln,Austin (South Austin),FIT,https://www.evangelinecafe.com,,,booking@evangelinecafe.com,Cajun/Creole cafe with live music. Zydeco/blues.
81,The Fillmore,1805 Geary Blvd,San Francisco (Western Addition),FIT,https://www.thefillmore.com,,,booking@thefillmore.com,Historic rock venue. Major acts.
82,Slim's,333 11th St,San Francisco (SoMa),FIT,https://www.slimspresents.com,,,booking@slimspresents.com,Rock/blues club. Bay Area institution.
83,The Saloon,1232 Grant Ave,San Francisco (North Beach),FIT,https://www.thesaloon.com,,,info@thesaloon.com,San Francisco's oldest blues bar. Historic venue.
84,Biscuits & Blues,401 Mason St,San Francisco (Union Square),FIT,https://www.biscuitsandblues.com,,,booking@biscuitsandblues.com,Restaurant/blues club. Southern cuisine.
85,Bottom of the Hill,1233 17th St,San Francisco (Potrero Hill),FIT,https://www.bottomofthehill.com,,,booking@bottomofthehill.com,Indie/rock venue. Also books roots/blues.
86,Brick & Mortar Music Hall,1710 Mission St,San Francisco (Mission),FIT,https://www.brickandmortarmusic.com,,,booking@brickandmortarmusic.com,Multi-genre venue. Intimate room.
87,Ivy Room,860 San Pablo Ave,Albany (Bay Area),FIT,https://www.ivyroom.com,,,booking@ivyroom.com,East Bay music venue. Americana/blues/roots.
88,Freight & Salvage,2020 Addison St,Berkeley (Bay Area),FIT,https://www.freightandsalvage.org,,,booking@freightandsalvage.org,Legendary folk/roots venue. Listening room.
89,The Starry Plough,3101 Shattuck Ave,Berkeley (Bay Area),FIT,https://www.thestarryplough.com,,,booking@thestarryplough.com,Irish pub with live music. Celtic/roots/blues.
90,Eli's Mile High Club,3629 Martin Luther King Jr Way,Oakland (Bay Area),FIT,https://www.elismilehighclub.com,,,booking@elismilehighclub.com,East Bay institution. Blues/rock/soul.
91,The Troubadour,9081 Santa Monica Blvd,Los Angeles (West Hollywood),FIT,https://www.troubadour.com,,,booking@troubadour.com,Legendary LA venue. Singer-songwriter heritage.
92,The Echo,1822 Sunset Blvd,Los Angeles (Echo Park),FIT,https://www.theecho.com,,,booking@theecho.com,Indie/rock venue. Also books roots acts.
93,El Cid,4212 Sunset Blvd,Los Angeles (Silver Lake),FIT,https://www.elcidla.com,,,info@elcidla.com,Historic Spanish dinner theater. Live music.
94,The Satellite,1717 Silver Lake Blvd,Los Angeles (Silver Lake),FIT,https://www.thesatellitela.com,,,booking@thesatellitela.com,Indie venue. Eclectic bookings.
95,Harvelle's,1432 4th St,Santa Monica (LA Area),FIT,https://www.harvelles.com,,,booking@harvelles.com,Blues/jazz club since 1931. Historic spot.
96,The Mint,6010 W Pico Blvd,Los Angeles (Mid-City),FIT,https://www.themintla.com,,,booking@themintla.com,Live music venue. Blues/rock/jam bands.
97,Genghis Cohen,740 N Fairfax Ave,Los Angeles (Fairfax),FIT,https://www.genghiscohen.com,,,booking@genghiscohen.com,Chinese restaurant/live music. Eclectic.
98,Zebulon,2478 Fletcher Dr,Los Angeles (Atwater Village),FIT,https://www.zebulon.la,,,booking@zebulon.la,Intimate music venue. Experimental/roots.
99,The Piano Bar,6421 Selma Ave,Los Angeles (Hollywood),FIT,https://www.thepianobarhollywood.com,,,booking@thepianobarhollywood.com,Cocktail bar with live music. Jazz/blues/piano.
100,Bar Lubitsch,7702 Santa Monica Blvd,Los Angeles (West Hollywood),FIT,https://www.barlubitsch.com,,,info@barlubitsch.com,Russian-themed bar. Occasional live music.
101,Continental Club,3700 Main St,Houston (Midtown),FIT,https://www.continentalclub.com/houston,,,booking@continentalclub.com,Austin's legendary club - Houston location.
102,The Bronze Peacock,1201 San Jacinto St,Houston (Downtown),FIT,https://www.houseofblues.com/houston,,,booking@houseofblues.com,House of Blues intimate room. Blues focus.
103,Fitzgerald's,2706 White Oak Dr,Houston (Heights),FIT,https://www.fitzlivemusic.com,,,booking@fitzlivemusic.com,Historic Houston venue. Blues/rock/roots.
104,The White Oak Music Hall,2915 N Main St,Houston (Near Northside),FIT,https://www.whiteoakmusichall.com,,,booking@whiteoakmusichall.com,Multi-room venue. National and local acts.
