venue,region,address,capacity,genre,booking_contact,booking_email,website,booking_form,notes,type
"City Winery NYC","Manhattan Chelsea Pier 57","25 11th Ave (Pier 57)","350","Blues/Jazz/Rock/Comedy","booking@citywinery.com","booking@citywinery.com","citywinery.com/new-york-city","No","Premier urban winery on Pier 57. Blues & jazz series. Seated dinner + show. Working winery on-site. Hudson River views. Top-tier room.","WINERY"
"City Winery Hudson Valley","Hudson Valley Montgomery NY","233 Piermont Rd","200","Blues/Jazz/Rock/Folk","booking@citywinery.com","booking@citywinery.com","citywinery.com/hudson-valley","No","Sister to NYC location. Scenic countryside. Live music nearly every night. National touring acts + tribute concerts.","WINERY"
"City Vineyard","Manhattan Chelsea Pier 26","Pier 26 Hudson River Park","150","Jazz/Blues/Acoustic","info@citywinery.com","info@citywinery.com","citywinery.com/city-vineyard","No","Wine bar + live music at Pier 26. Hudson River views. More casual than City Winery. Good entry point.","WINERY"
"Pindar Vineyards","Long Island Peconic","37645 Main Rd","150","Jazz/Blues/Rock/Acoustic","info@pindar.net","info@pindar.net","pindar.net","No","Live music every Sat & Sun 1-5pm. Sprawling vineyard. Family-friendly. Food trucks. Summer/fall peak. LI Wine Country.","WINERY"
"Palmer Vineyards","Long Island Riverhead","5120 Sound Ave","120","Blues/Pop/Jazz","info@palmervineyards.com","info@palmervineyards.com","palmervineyards.com","No","Blues + pop + jazz on summer weekends. Outdoor seating. Vineyard views. Food trucks. Known for Cab Franc & Merlot.","WINERY"
"Jamesport Vineyards","Long Island Jamesport","1216 Main Rd","100","Acoustic/Blues/Rock","info@jamesportvineyards.com","info@jamesportvineyards.com","jamesportvineyards.com","No","Seasonal weekend live music. Pizza oven + small plates. Intimate tasting room. Estate Sauvignon Blanc.","WINERY"
"RGNY","Long Island Riverhead","6025 Sound Ave","120","Indie/Folk/Blues/Instrumental","info@rgnywine.com","info@rgnywine.com","rgnywine.com","No","Modern + rustic. Select weekends. Gourmet snacks. Scenic views. Signature Scielo Rosé.","WINERY"
"Kontokosta Winery","Long Island Greenport","825 North Rd","100","Jazz/Blues/Classical","info@kontokostawinery.com","info@kontokostawinery.com","kontokostawinery.com","No","Waterfront views. BYO picnics. Seasonal events. Rosé + sparkling wines. North Fork.","WINERY"
"Duck Walk Vineyards","Long Island Southold","4275 Main Rd","100","Acoustic/Blues/Folk","info@duckwalk.com","info@duckwalk.com","duckwalk.com","No","Live music Sat & Sun 1-5pm. Wine tastings $18. Patio seating. Two locations (Southold + Water Mill).","WINERY"
"Warwick Valley Winery & Distillery","Hudson Valley Warwick NY","114 Little York Rd","200","Blues/Rock/Folk/Cover","booking@wvwinery.com","booking@wvwinery.com","wvwinery.com","No","Live music every weekend year-round 2-5pm. Outdoor patios + rose gardens in summer. Fireplace in winter. Tribute/cover band festivals. Great fit for blues.","WINERY"
"Clearview Vineyard","Hudson Valley Warwick NY","35 Clearview Ln","80","Acoustic/Blues/Folk","info@clearviewvineyard.com","info@clearviewvineyard.com","clearviewvineyard.com","No","Relaxed setting + live music. Beautiful scenery. Hudson Valley. Small + intimate.","WINERY"
"Robibero Winery","Hudson Valley New Paltz NY","7279 Route 299","100","Blues/Rock/Folk","info@robiberofamilyvineyards.com","info@robiberofamilyvineyards.com","robiberofamilyvineyards.com","No","Family-owned. Open 7 days. Wine tastings + wood-fired pizza + live music. Hudson Valley. Good weekend destination.","WINERY"
"Millbrook Vineyards","Hudson Valley Millbrook NY","26 Wing Rd","100","Jazz/Blues/Acoustic","info@millbrookwine.com","info@millbrookwine.com","millbrookwine.com","No","Live music on select weekends in the Loft. Cozy winter vibes. 1300-acre estate. One of HV's largest wineries.","WINERY"
"Quartz Rock Vineyard","Hudson Valley Marlboro NY","3509 Route 9W","80","Blues/Folk/Rock","info@quartzrockvineyard.com","info@quartzrockvineyard.com","quartzrockvineyard.com","No","1913 barn on Mt. Zion Mountain. Farm-to-bottle wines. Live music + events. Apple picking. Pet + family friendly.","WINERY"
"Auburn Road Vineyard & Winery","NJ Pilesgrove","75 Auburn Rd","120","Blues/Rock/Folk","booking@auburnroadvineyards.com","booking@auburnroadvineyards.com","auburnroadvineyards.com","No","South Jersey winery. Year-round live music. Indoor tasting room + outdoor patio. Good for blues/roots.","WINERY"
"Old York Cellars","NJ Ringoes","80 Old York Rd","150","Folk/Rock/Jazz/Blues","booking@oldyorkcellars.com","booking@oldyorkcellars.com","oldyorkcellars.com","No","Live music on vineyard every Friday May-Sep 6-9pm. Folk to jazz to blues. Wine + food. Comedy nights too. Premier NJ winery.","WINERY"
"White Horse Winery","NJ Allentown","1600 Rt 539","100","Blues/Rock/Folk","info@whitehorsewinery.com","info@whitehorsewinery.com","whitehorsewinery.com","No","Year-round live music. Tasting room + porch in summer. Cheese boards. Food trucks. South Jersey. Cool vibe.","WINERY"
"Sharrott Winery","NJ Hammonton","590 S White Horse Pike","150","Blues/Rock/Indie","info@sharrottwinery.com","info@sharrottwinery.com","sharrottwinery.com","No","Year-round live music. Built tasting room for it. Large shaded patio. Vineyard views. Reservations required. South Jersey.","WINERY"
"Renault Winery","NJ Egg Harbor City","1900 New York Ave","300","Blues/Rock/Cover","info@renaultwinery.com","info@renaultwinery.com","renaultwinery.com","No","Only NJ winery big enough for full bands. Champagne Patio Garden. On-site restaurant. Dog-friendly. Historic (1864).","WINERY"
"Autumn Lake Winery","NJ Williamstown","315 N Black Horse Pike","120","Blues/Rock/Folk","info@autumnlakewinery.com","info@autumnlakewinery.com","autumnlakewinery.com","No","Best view — tasting room overlooks blue lake. BYO food. Dog-friendly. Summer breeze. Lakefront music.","WINERY"
"Hopewell Valley Vineyards","NJ Hopewell","46 Yonges Ln","80","Jazz/Blues/Rock/Country","info@hopewellvalleyvineyards.com","info@hopewellvalleyvineyards.com","hopewellvalleyvineyards.com","No","Jazzy Sundays! Jazz every Sunday afternoon. Rock/country Saturdays. Brick oven pizza. Dog-friendly outside.","WINERY"
"Cape May Winery","NJ Cape May","716 Washington St","100","Blues/Acoustic/Folk","info@capemaywinery.com","info@capemaywinery.com","capemaywinery.com","No","Live music every Saturday. Garden complex in summer. Tapas kitchen in winter. Two-hour table limit. Cape May.","WINERY"
"Terra Nonno Winery","NJ Hammonton","1003 S White Horse Pike","120","Blues/Rock/Folk","info@terranonnowinery.com","info@terranonnowinery.com","terranonnowinery.com","No","Year-round live music. Enclosed patio + retractable doors. Vineyard views. BYO food. Dog-friendly.","WINERY"
"Working Dog Winery","NJ Robbinsville","225 Province Line Rd","150","Blues/Rock/Folk","info@workingdogwinery.com","info@workingdogwinery.com","workingdogwinery.com","No","Huge lawn area for music. BYO chairs. Food trucks. Dog-friendly (of course). Shaded patio. Summer peak.","WINERY"
"Terhune Orchards","NJ Princeton","330 Cold Soil Rd","100","Blues/Folk/Acoustic","info@terhuneorchards.com","info@terhuneorchards.com","terhuneorchards.com","No","Sunset Sips & Sounds Friday evenings. Wine + live music + local agriculture. Family-friendly. Princeton area.","WINERY"
"Blue Cork Winery & Vineyard","NJ Columbus","5036 Rt 539","80","Blues/Rock/Acoustic","info@bluecorkwine.com","info@bluecorkwine.com","bluecorkwine.com","No","Live music every weekend Apr-Nov. Check monthly schedule. South Jersey. Farm setting.","WINERY"
