rank,venue,address,borough,type,website,status,date_contacted,booking_contact,notes
51,The Django,2 Avenue of the Americas,Manhattan (Tribeca),FIT,https://www.2dtnyc.com,,,info@2dtnyc.com,"Jazz club under the Roxy Hotel. Live music nightly. Contact info@ for booking."
52,The Django at the Roxy,2 6th Ave,Manhattan (Tribeca),FIT,https://www.theroxyhotel.com/django,,,django@theroxyhotel.com,"Jazz club in Roxy Hotel. Booking: django@theroxyhotel.com"
53,Hotel Chantelle,92 Ludlow St,Manhattan (Lower East Side),FIT,https://www.hotelchantelle.com,,,info@hotelchantelle.com,Rooftop bar with live music. French-American venue.
54,Montero Bar,73 Atlantic Ave,Brooklyn (Brooklyn Heights),FIT,,,,info@monterosbar.com,Long-standing Brooklyn dive bar. Live music occasionally.
55,Little Branch,20 7th Ave S,Manhattan (West Village),FIT,,,,info@littlebranch.net,Speakeasy-style cocktail bar. Occasional live jazz.
56,Ear Inn,326 Spring St,Manhattan (Soho),FIT,https://www.earinn.com,,,info@earinn.com,Historic bar with live music. Blues/jazz/roots focus.
57,Sunshine Laundromat,925 Fulton St,Brooklyn (Clinton Hill),FIT,https://www.sunshinelaundromatbk.com,,,info@sunshinelaundromatbk.com,Bar/laundromat with live music. Hipster spot.
58,The Commodore,366 Metropolitan Ave,Brooklyn (Williamsburg),FIT,https://www.commodoreny.com,,,info@commodoreny.com,Bar with live music. Southern comfort food.
59,Skinny Dennis,152 Metropolitan Ave,Brooklyn (Williamsburg),FIT,https://www.skinnydennis.com,,,booking@skinnydennisbrooklyn.com,"Honky-tonk bar, country/blues focus. Already in list but worth re-contacting."
60,Freddy's Bar,627 5th Ave,Brooklyn (Park Slope),FIT,https://www.freddysbar.com,,,info@freddysbar.com,Neighborhood bar with live music. Eclectic bookings.
61,Barbes,376 9th St,Brooklyn (Park Slope),FIT,https://www.barbesbrooklyn.com,,,BarbesBookings@gmail.com,"Already contacted. World music/blues bar. Send streamable link."
62,Hank's Saloon,345 Atlantic Ave,Brooklyn (Boerum Hill),CLOSED,,,,,"CLOSED - Was legendary dive bar with live country/blues."
63,Branded Saloon,603 Vanderbilt Ave,Brooklyn (Prospect Heights),FIT,https://www.brandedsaloon.com,,,info@brandedsaloon.com,Wild West themed bar with live music. Americana/roots.
64,The Way Station,413 Vanderbilt Ave,Brooklyn (Prospect Heights),FIT,https://www.thewaystationbk.com,,,info@thewaystationbk.com,"Already contacted. Geeky bar with live music. TARDIS bathroom."
65,Lowlands,543 3rd Ave,Brooklyn (Gowanus),FIT,https://www.lowlandsbar.com,,,info@lowlandsbar.com,Gowanus bar with live music. Americana focus.
66,The Bell House,149 7th St,Brooklyn (Gowanus),FIT,https://www.thebellhouseny.com,,,info@thebellhouseny.com,"Already contacted. Large venue with two rooms."
67,Union Hall,702 Union St,Brooklyn (Park Slope),FIT,https://www.unionhallny.com,,,info@unionhallny.com,"Live music venue downstairs, bar upstairs. Bocce courts."
68,The Rock Shop,249 4th Ave,Brooklyn (Park Slope),FIT,,,,info@therockshopny.com,Live music venue. Indie rock but books blues too.
69,Barbès,376 9th St,Brooklyn (Park Slope),FIT,https://www.barbesbrooklyn.com,,,BarbesBookings@gmail.com,Duplicate entry - same as #61.
70,Shrine,2271 Adam Clayton Powell Jr Blvd,Manhattan (Harlem),FIT,https://www.shrinenyc.com,,,info@shrinenyc.com,"Harlem world music/jazz venue. Intimate space."
71,Ginny's Supper Club,310 Lenox Ave,Manhattan (Harlem),FIT,https://www.ginnyssupperclub.com,,,info@redroosterharlem.com,"Harlem supper club below Red Rooster. Jazz/blues/soul."
72,Silvana,300 W 116th St,Manhattan (Harlem),FIT,https://www.silvana-nyc.com,,,info@silvana-nyc.com,Harlem bar/cafe with live music. Intimate upstairs venue.
