outlet_name,category,contact_name,email,website,location,submission_method,submission_email,notes
"Blues Blast Magazine",Magazine,,"info@bluesblastmagazine.com","https://www.bluesblastmagazine.com/","Creve Coeur IL","Email + physical CD","info@bluesblastmagazine.com","Submit album for review: send CD + one sheet + bio to 116 Espenscheid Court, Creve Coeur IL 61610. ATTN Music Reviews. Include contact info. No EPs/singles. Reviews take ~2 months. Advertisers get priority."
"Living Blues Magazine",Magazine,"Brett Bonner (Editor)","brett@livingblues.com","https://livingblues.com/","University MS","Email editor + physical CD","brett@livingblues.com","Editor: brett@livingblues.com. Send 2 copies to: Brett Bonner, Editor, Living Blues Magazine, South Oxford Center, POB 1848, University MS 38677. Also: info@livingblues.com, ads@livingblues.com, susan@livingblues.com (art). Phone: (662) 915-5742."
"American Blues Scene",Digital Magazine,,"info@americanbluesscene.com","https://www.americanbluesscene.com/","USA","Email press release","info@americanbluesscene.com","Contact form on website. For press releases and inquiries: info@americanbluesscene.com. Advertising: advertise@americanbluesscene.com. Cannot accept unsolicited articles."
"Blues Matters Magazine",Magazine,,"info@bluesmatters.com","https://bluesmatters.com/","UK","Email press release","info@bluesmatters.com","British blues publication. 3x recognized in USA for blues dedication."
"Rock and Blues Muse",Blog/Magazine,"Martine Ehrenclou","info@rockandbluesmuse.com","https://rockandbluesmuse.com/","USA","Email + contact form","info@rockandbluesmuse.com","Run by Martine Ehrenclou. Features blues, blues-rock, rock & roots. Reviews, interviews, concert/album reviews. Contact form on website."
"Blues Rock Review",Blog,,"info@bluesrockreview.com","https://bluesrockreview.com/","USA","Email press release","info@bluesrockreview.com","Founded 2010. Reviews, interviews, videos. Blues rock focus. 75K Facebook followers."
"Blues Festival Guide",Magazine,,"info@bluesfestivalguide.com","https://bluesfestivalguide.com/","USA","Email press release","info@bluesfestivalguide.com","Festival directory + magazine. 178K Facebook followers."
"Blues Music Magazine",Magazine,,"info@bluesmusicstore.com","https://bluesmusicstore.com/","USA","Email press release","info@bluesmusicstore.com","4 issues/year. Sharing America's National Music - The Blues."
"The Blues Magazine",Magazine,,"info@thebluesmagazine.com","https://www.thebluesmagazine.com/","UK","Email press release","info@thebluesmagazine.com","Independent online magazine. New releases, album reviews, live shows, festivals, playlists."
"Blues Today",Blog,,"info@bluestoday.com","https://bluestoday.com/","USA","Email press release","info@bluestoday.com","Interviews, music, performances. Conversations with creative people in blues."
"Bman's Blues Report",Blog,,"info@bmansbluesreport.com","https://www.bmansbluesreport.com/","USA","Email press release","info@bmansbluesreport.com","Exclusive blues interviews, reviews, videos. Truth in music!"
"Everything Blues Blog (Mojohand)",Blog,,"info@mojohand.com","https://mojohand.com/everything-blues-blog/","USA","Email press release","info@mojohand.com","#1 blues blog for 20+ years. CD reviews, news. Artist-owned."
"Chicago Blues Guide",Blog,,"info@chicagobluesguide.com","https://www.chicagobluesguide.com/","Chicago IL","Email press release","info@chicagobluesguide.com","Complete guide to Chicago blues scene. Clubs, bands, radio, reviews."
"Blues Music Now",Blog,,"info@bluesmusicnow.com","https://bluesmusicnow.com/","USA","Email press release","info@bluesmusicnow.com","Blues news, artist profiles, album reviews, concert news."
"Big Road Blues",Radio/Blog,,"info@jazz901.org","https://sundayblues.org/","USA","Email press release","info@jazz901.org","Vintage blues radio & writing."
"Henry's Blues Blog",Blog,,"info@bigbearmusic.com","https://blueshouse.bigbearmusic.com/","UK","Email press release","info@bigbearmusic.com","Original Henry's Blueshouse, Birmingham England since 1968."
"BluesRadio (MRG.fm)",Radio,,"info@mrg.fm","https://bluesmrg.com/","New York NY","Email music submission","info@mrg.fm","NYC-based internet blues radio. 24/7. Accepts music submissions."
"Blues Music Fan Radio",Radio,,"info@bluesmusicfanradio.com","https://www.bluesmusicfanradio.com/","New York","Email music submission","info@bluesmusicfanradio.com","NY-based 501(c)(3) internet blues radio. Contemporary blues since 2014."
"Long Island Blues Warehouse",Radio,,"info@liblues.com","https://www.liblues.com/","Long Island NY","Email music submission","info@liblues.com","New York's #1 Blues Radio Station. Webisodes + live stream."
"WHCR 90.3 FM",Radio,,"music@whcr.org","https://whcr.org/","New York NY","Email MP3 + physical CD","music@whcr.org","Harlem community radio. Email MP3 to show directly. Mail CD to: WHCR 90.3FM, 160 Convent Avenue NAC 1/513, New York NY 10031. Find blues shows on website."
"WBGO 88.3 FM",Radio,,"info@wbgo.org","https://www.wbgo.org/","Newark NJ","Email press release","info@wbgo.org","Jazz/blues public radio serving NYC metro."
"SiriusXM Bluesville",Radio,,"programming@siriusxm.com","https://www.siriusxm.com/bluesville","USA","Email + submission portal","programming@siriusxm.com","Satellite radio blues channel. National reach. Submit through SiriusXM artist portal."
"KEXP",Radio,,"dj@kexp.org","https://www.kexp.org/","Seattle WA","Email music submission","dj@kexp.org","Influential public radio. Blues programming. Accepts music submissions."
"Elmore Magazine",Magazine,,"editor@elmoremagazine.com","https://www.elmoremagazine.com/","USA","Email press release","editor@elmoremagazine.com","Roots music magazine. Blues, rock, Americana."
"No Depression",Magazine,,"editor@nodepression.com","https://www.nodepression.com/","USA","Email press release","editor@nodepression.com","Roots music journal. Blues, folk, Americana, alt-country."
"DownBeat",Magazine,,"editor@downbeat.com","https://www.downbeat.com/","USA","Email press release","editor@downbeat.com","Jazz and blues magazine since 1934."
"Pollstar",Industry,,"news@pollstar.com","https://www.pollstar.com/","USA","Email press release","news@pollstar.com","Concert industry trade publication."
"Relix",Magazine,,"editor@relix.com","https://www.relix.com/","USA","Email press release","editor@relix.com","Jam, blues, roots music magazine."
"Roots Music Report",Chart/Directory,,"info@rootsmusicreport.com","https://rootsmusicreport.com/","USA","Submit tracks for charts","info@rootsmusicreport.com","Blues charts and airplay tracking. Submit music for chart consideration."
"Blues411",Blog,,"info@blues411.com","https://blues411.com/","USA","Email press release","info@blues411.com","Blues news, reviews, artist features."
"Making A Scene",Blog,,"info@makingascene.com","https://makingascene.com/","USA","Email press release","info@makingascene.com","Blues and roots music reviews and interviews."
"NYC Blues Society",Organization,,"info@nycblues.com","https://nycblues.com/","New York NY","Email + attend events","info@nycblues.com","NYC blues community. Events, artist features."
"New York Blues Hall of Fame",Organization,,"info@nyblueshalloffame.org","https://nyblueshalloffame.org/","New York NY","Email + nominate","info@nyblueshalloffame.org","NY Blues Hall of Fame. Induction ceremonies."
"Long Island Blues Society",Organization,,"info@libsblues.org","https://libsblues.org/","Long Island NY","Email + attend meetings","info@libsblues.org","Long Island blues community.""Salty Dog Blues N Roots Podcast",Podcast,,"salty@bluesrootsradio.com","https://salty.com.au/category/podcast/","Melbourne Australia","Email music submission","salty@bluesrootsradio.com","2-hour podcast/radio featuring Australian and world blues, roots, alt-country since 2005. Apple 4.7/5."
"Nothing But The Blues",Podcast,"Cliff McKnight","cliff@nothingbuttheblues.co.uk","https://cliff.libsyn.com/","UK","Email music submission","cliff@nothingbuttheblues.co.uk","Hosted by Cliff McKnight. All blues genres, earliest to latest. Apple 4.7/5. 248 reviews."
"Blues Therapy Radio Worldwide",Podcast,"Biggdaddy Ray Hansen","biggdaddy@charter.net","https://biggdaddy.podbean.com/","USA","Email music submission","biggdaddy@charter.net","Host: Biggdaddy Ray Hansen, Blues Hall of Fame inductee. On air since 2004. YouTube channel available."
"Blues is the Truth",Podcast,"Ian McHugh","ian.mchugh.blues@gmail.com","https://hearthis.at/ian-mchugh/","UK","Email music submission","ian.mchugh.blues@gmail.com","Weekly 2-hour blues radio show. Host: Ian McHugh, frontman/guitarist of Blues is Truth band. Ealing Blues Festival compere."
"Juke In The Back",Podcast,"Matt The Cat","matt@mattthecat.com","https://www.jukeintheback.org/","USA","Email music submission","matt@mattthecat.com","Host: Matt The Cat. 1946-1954 rhythm and blues. Apple 4.9/5. 71 reviews."
