outlet_name,category,contact_name,email,website,location,notes,submission_method
"Harlem One Stop",Directory,,"info@harlemonestop.com","https://www.harlemonestop.com/","Harlem NY","Harlem community directory. Lists events, venues, businesses. Submit events via website.","Email + web form"
"Shrine NYC Facebook Group",Social Media,,"https://www.facebook.com/groups/ShrineNYC/","https://www.facebook.com/groups/ShrineNYC/","Harlem NY","Active Facebook group for Shrine events. Post shows, events, connect with regulars. Direct access to Shrine community.","Facebook post"
"Silvana Harlem Instagram",Social Media,,"@silvanaharlem","https://www.instagram.com/silvanaharlem/","Harlem NY","10K followers. Tag in posts, collaborate on content. Booking: silvanabooking@gmail.com","Instagram tag/collab"
"Shrine Harlem Instagram",Social Media,,"@shrineharlem","https://www.instagram.com/shrineharlem/","Harlem NY","Sister venue. Tag in posts, cross-promote.","Instagram tag"
"NYC Blues (Facebook Group)",Social Media,,"https://www.facebook.com/groups/606301023783926/","https://www.facebook.com/groups/606301023783926/","New York NY","Blues lovers and live blues in NYC. Post residency announcement.","Facebook post"
"NYC Blues Jams (Facebook Group)",Social Media,,"https://www.facebook.com/groups/498825243481112/","https://www.facebook.com/groups/498825243481112/","New York NY","NYC blues jams and gigs. Post residency info.","Facebook post"
"NY/NJ Blues Collective (Facebook Group)",Social Media,,"https://www.facebook.com/groups/211438065565842/","https://www.facebook.com/groups/211438065565842/","New York NY","NY/NJ blues community. Post residency info.","Facebook post"
"Gothamist",Digital Magazine,,"tips@gothamist.com","https://gothamist.com/","New York NY","NYC non-profit newsroom. Arts & events. Pitch residency as Harlem nightlife story.","Email press release"
"Brooklyn Vegan",Blog,,"tips@brooklynvegan.com","https://www.brooklynvegan.com/","Brooklyn NY","NYC music blog. Live show coverage. Pitch residency announcement.","Email press release"
"Village Voice",Magazine,,"editor@villagevoice.com","https://www.villagevoice.com/","New York NY","NYC alt-weekly. Music coverage. Pitch Harlem blues residency.","Email press release"
"Time Out New York",Magazine,,"editor@timeout.com","https://www.timeout.com/new-york","New York NY","NYC events listing. Submit residency for events calendar.","Email + events listing"
"doNYC",Events Calendar,,"info@donyc.com","https://donyc.com/","New York NY","NYC events site. Lists Silvana and Shrine events. Submit residency shows.","Web form submission"
"Bandsintown",Platform,,"support@bandsintown.com","https://www.bandsintown.com/","USA","Silvana is on Bandsintown. List residency shows for fan discovery.","Platform listing"
"Harlem World Magazine",Blog,,"editor@harlemworldmag.com","https://harlemworldmag.com/","Harlem NY","Harlem lifestyle and culture magazine. Pitch residency story.","Email press release"
"Uptown Magazine",Magazine,,"editor@uptownmagazine.com","https://uptownmagazine.com/","Harlem NY","Harlem/Uptown NYC lifestyle. Pitch blues residency at Silvana.","Email press release"
"The Amsterdam News",Newspaper,,"editor@amsterdamnews.com","https://amsterdamnews.com/","Harlem NY","Harlem's oldest Black newspaper. Music and culture coverage.","Email press release"
